year_group,ks_level,topic_strand,sub_strand,statement
8,3,Geometry,Geometry and Measures,"calculate and solve problems involving: perimeters of 2-D shapes (including circles), areas of circles and composite shapes"
8,3,Geometry,Geometry and Measures,"draw and measure line segments and angles in geometric figures, including interpreting scale drawings"
8,3,Geometry,Geometry and Measures,"derive and use the standard ruler and compass constructions (perpendicular bisector of a line segment, constructing a perpendicular to a given line from/at a given point, bisecting a given angle); recognise and use the perpendicular distance from a point to a line as the shortest distance to the line"
8,3,Geometry,Geometry and Measures,"describe, sketch and draw using conventional terms and notations: points, lines, parallel lines, perpendicular lines, right angles, regular polygons, and other polygons that are reflectively and rotationally symmetric"
8,3,Geometry,Geometry and Measures,"use the standard conventions for labelling the sides and angles of triangle ABC, and know and use the criteria for congruence of triangles"
8,3,Geometry,Geometry and Measures,"derive and illustrate properties of triangles, quadrilaterals, circles, and other plane figures using appropriate language and technologies"
8,3,Geometry,Geometry and Measures,"identify properties of, and describe the results of, translations, rotations and reflections applied to given figures"
8,3,Geometry,Geometry and Measures,"identify and construct congruent triangles, and construct similar shapes by enlargement, with and without coordinate grids"
8,3,Geometry,Geometry and Measures,"apply the properties of angles at a point, angles at a point on a straight line, vertically opposite angles"
8,3,Geometry,Geometry and Measures,understand and use the relationship between parallel lines and alternate and corresponding angles
8,3,Geometry,Geometry and Measures,"derive and use the sum of angles in a triangle and use it to deduce the angle sum in any polygon, and to derive properties of regular polygons"
8,3,Geometry,Geometry and Measures,"apply angle facts, triangle congruence, similarity and properties of quadrilaterals to derive results about angles and sides, including Pythagoras’ Theorem, and use known results to obtain simple proofs"
8,3,Geometry,Geometry and Measures,use Pythagoras’ Theorem and trigonometric ratios in similar triangles to solve problems involving right-angled triangles
8,3,Geometry,Geometry and Measures,"use the properties of faces, surfaces, edges and vertices of cubes, cuboids, prisms, cylinders, pyramids, cones and spheres to solve problems in 3-D"
8,3,Geometry,Geometry and Measures,interpret mathematical relationships both algebraically and geometrically
8,3,Statistics,Probability,"record, describe and analyse the frequency of outcomes of simple probability experiments involving randomness, fairness, equally and unequally likely outcomes, using appropriate language and the 0-1 probability scale"
8,3,Statistics,Probability,understand that the probabilities of all possible outcomes sum to 1
8,3,Statistics,Probability,"enumerate sets and unions/intersections of sets systematically, using tables, grids and Venn diagrams"
8,3,Statistics,Probability,"generate theoretical sample spaces for single and combined events with equally likely, mutually exclusive outcomes and use these to calculate theoretical probabilities"
8,3,Statistics,Statistics,"describe, interpret and compare observed distributions of a single variable through: appropriate graphical representation involving discrete, continuous and grouped data; and appropriate measures of central tendency (mean, mode, median) and spread (range, consideration of outliers)"
8,3,Statistics,Statistics,"construct and interpret appropriate tables, charts, and diagrams, including frequency tables, bar charts, pie charts, and pictograms for categorical data, and vertical line (or bar) charts for ungrouped and grouped numerical data"
8,3,Statistics,Statistics,describe simple mathematical relationships between 2 variables (bivariate data) in observational and experimental contexts and illustrate using scatter graphs
10,4,Number,Number,"apply systematic listing strategies, {including use of the product rule for counting}"
10,4,Number,Number,{estimate powers and roots of any given positive number}
10,4,Number,Number,"calculate with roots, and with integer {and fractional} indices"
10,4,Number,Number,"calculate exactly with fractions, {surds} and multiples of π {simplify surd expressions involving squares and rationalise denominators}"
10,4,Number,Number,"calculate with numbers in standard form A × 10n, where 1 ≤⃒ A < 10 and n is an integer"
10,4,Number,Number,{change recurring decimals into their corresponding fractions and vice versa}
10,4,Number,Number,identify and work with fractions in ratio problems
10,4,Number,Number,"apply and interpret limits of accuracy when rounding or truncating, {including upper and lower bounds}"
10,4,Algebra,Algebra,"simplify and manipulate algebraic expressions (including those involving surds {and algebraic fractions}) by: factorising quadratic expressions of the form x2 + bx + c, including the difference of 2 squares; {factorising quadratic expressions of the form ax2 + bx + c}"
10,4,Algebra,Algebra,"simplify and manipulate algebraic expressions (including those involving surds {and algebraic fractions}) by: simplifying expressions involving sums, products and powers, including the laws of indices"
10,4,Algebra,Algebra,"know the difference between an equation and an identity; argue mathematically to show algebraic expressions are equivalent, and use algebra to support and construct arguments {and proofs}"
10,4,Algebra,Algebra,"where appropriate, interpret simple expressions as functions with inputs and outputs; {interpret the reverse process as the ‘inverse function’; interpret the succession of 2 functions as a ‘composite function’}"
10,4,Algebra,Algebra,"use the form y = mx + c to identify parallel {and perpendicular} lines; find the equation of the line through 2 given points, or through 1 point with a given gradient"
10,4,Algebra,Algebra,"identify and interpret roots, intercepts and turning points of quadratic functions graphically; deduce roots algebraically {and turning points by completing the square}"
10,4,Algebra,Algebra,"recognise, sketch and interpret graphs of linear functions, quadratic functions, simple cubic functions, the reciprocal function y = [Fraction:1/x] with x ≠ 0, {the exponential function y = kx for positive values of k, and the trigonometric functions (with arguments in degrees) y = sin x, y = cos x and y = tan x for angles of any size}"
10,4,Algebra,Algebra,{sketch translations and reflections of the graph of a given function}
10,4,Algebra,Algebra,"plot and interpret graphs (including reciprocal graphs {and exponential graphs}) and graphs of non-standard functions in real contexts, to find approximate solutions to problems such as simple kinematic problems involving distance, speed and acceleration"
10,4,Algebra,Algebra,"{calculate or estimate gradients of graphs and areas under graphs (including quadratic and other non-linear graphs), and interpret results in cases such as distance-time graphs, velocity-time graphs and graphs in financial contexts}"
10,4,Algebra,Algebra,{recognise and use the equation of a circle with centre at the origin; find the equation of a tangent to a circle at a given point}
10,4,Algebra,Algebra,"solve quadratic equations {including those that require rearrangement} algebraically by factorising, {by completing the square and by using the quadratic formula}; find approximate solutions using a graph"
10,4,Algebra,Algebra,solve 2 simultaneous equations in 2 variables (linear/linear {or linear/quadratic}) algebraically; find approximate solutions using a graph
10,4,Algebra,Algebra,{find approximate solutions to equations numerically using iteration}
10,4,Algebra,Algebra,"translate simple situations or procedures into algebraic expressions or formulae; derive an equation (or 2 simultaneous equations), solve the equation(s) and interpret the solution"
10,4,Algebra,Algebra,"solve linear inequalities in 1 {or 2} variable {s}, {and quadratic inequalities in 1 variable}; represent the solution set on a number line, {using set notation and on a graph}"
10,4,Algebra,Algebra,"recognise and use sequences of triangular, square and cube numbers, simple arithmetic progressions, Fibonacci type sequences, quadratic sequences, and simple geometric progressions (rn where n is an integer, and r is a positive rational number {or a surd}) {and other sequences}"
10,4,Algebra,Algebra,deduce expressions to calculate the nth term of linear {and quadratic} sequences.
10,4,Ratio,"Ratio, Proportion and Rates of Change","compare lengths, areas and volumes using ratio notation and/or scale factors; make links to similarity (including trigonometric ratios)"
10,4,Ratio,"Ratio, Proportion and Rates of Change","convert between related compound units (speed, rates of pay, prices, density, pressure) in numerical and algebraic contexts"
10,4,Ratio,"Ratio, Proportion and Rates of Change",understand that X is inversely proportional to Y is equivalent to X is proportional to [Fraction:1/Y]; {construct and} interpret equations that describe direct and inverse proportion
10,4,Ratio,"Ratio, Proportion and Rates of Change",interpret the gradient of a straight line graph as a rate of change; recognise and interpret graphs that illustrate direct and inverse proportion
10,4,Ratio,"Ratio, Proportion and Rates of Change","{interpret the gradient at a point on a curve as the instantaneous rate of change; apply the concepts of instantaneous and average rate of change (gradients of tangents and chords) in numerical, algebraic and graphical contexts}"
10,4,Ratio,"Ratio, Proportion and Rates of Change","set up, solve and interpret the answers in growth and decay problems, including compound interest {and work with general iterative processes}"
10,4,Geometry,Geometry and Measures,interpret and use fractional {and negative} scale factors for enlargements
10,4,Geometry,Geometry and Measures,"{describe the changes and invariance achieved by combinations of rotations, reflections and translations}"
10,4,Geometry,Geometry and Measures,"identify and apply circle definitions and properties, including: centre, radius, chord, diameter, circumference, tangent, arc, sector and segment"
10,4,Geometry,Geometry and Measures,"{apply and prove the standard circle theorems concerning angles, radii, tangents and chords, and use them to prove related results}"
10,4,Geometry,Geometry and Measures,construct and interpret plans and elevations of 3D shapes
10,4,Geometry,Geometry and Measures,interpret and use bearings
10,4,Geometry,Geometry and Measures,"calculate arc lengths, angles and areas of sectors of circles"
10,4,Geometry,Geometry and Measures,"calculate surface areas and volumes of spheres, pyramids, cones and composite solids"
10,4,Geometry,Geometry and Measures,"apply the concepts of congruence and similarity, including the relationships between lengths, {areas and volumes} in similar figures"
10,4,Geometry,Geometry and Measures,"apply Pythagoras’ Theorem and trigonometric ratios to find angles and lengths in right-angled triangles {and, where possible, general triangles} in 2 {and 3} dimensional figures"
10,4,Geometry,Geometry and Measures,"know the exact values of sin θ and cos θ for θ = 0°, 30°, 45°, 60° and 90°; know the exact value of tan θ for θ = 0°, 30°, 45°, 60°"
10,4,Geometry,Geometry and Measures,"{know and apply the sine rule, [Fraction:a/sinA] = [Fraction:b/sinB] = [Fraction:c/sinC] , and cosine rule, a2 = b2 + c2 - 2bc cos A, to find unknown lengths and angles}"
10,4,Geometry,Geometry and Measures,"{know and apply Area = [Fraction:1/2] ab sin C to calculate the area, sides or angles of any triangle}"
10,4,Geometry,Geometry and Measures,describe translations as 2D vectors
10,4,Geometry,Geometry and Measures,"apply addition and subtraction of vectors, multiplication of vectors by a scalar, and diagrammatic and column representations of vectors; {use vectors to construct geometric arguments and proofs}"
10,4,Statistics,Probability,apply the property that the probabilities of an exhaustive set of mutually exclusive events sum to 1
10,4,Statistics,Probability,"use a probability model to predict the outcomes of future experiments; understand that empirical unbiased samples tend towards theoretical probability distributions, with increasing sample size"
10,4,Statistics,Probability,"calculate the probability of independent and dependent combined events, including using tree diagrams and other representations, and know the underlying assumptions"
10,4,Statistics,Probability,"{calculate and interpret conditional probabilities through representation using expected frequencies with two-way tables, tree diagrams and Venn diagrams}"
10,4,Statistics,Statistics,"infer properties of populations or distributions from a sample, whilst knowing the limitations of sampling"
10,4,Statistics,Statistics,interpret and construct tables and line graphs for time series data
10,4,Statistics,Statistics,"{construct and interpret diagrams for grouped discrete data and continuous data, ie, histograms with equal and unequal class intervals and cumulative frequency graphs, and know their appropriate use}"
10,4,Statistics,Statistics,"interpret, analyse and compare the distributions of data sets from univariate empirical distributions through: appropriate graphical representation involving discrete, continuous and grouped data, {including box plots}"
10,4,Statistics,Statistics,"interpret, analyse and compare the distributions of data sets from univariate empirical distributions through: appropriate measures of central tendency (including modal class) and spread {including quartiles and inter-quartile range}"
10,4,Statistics,Statistics,apply statistics to describe a population
10,4,Statistics,Statistics,use and interpret scatter graphs of bivariate data; recognise correlation and know that it does not indicate causation; draw estimated lines of best fit; make predictions; interpolate and extrapolate apparent trends whilst knowing the dangers of so doing.
