year_group,ks_level,topic_strand,sub_strand,statement
2,1,Geometry,position and direction,order and arrange combinations of mathematical objects in patterns and sequences
2,1,Geometry,position and direction,"use mathematical vocabulary to describe position, direction and movement, including movement in a straight line and distinguishing between rotation as a turn and in terms of right angles for quarter, half and three-quarter turns (clockwise and anti-clockwise)"
2,1,Statistics,Statistics,"interpret and construct simple pictograms, tally charts, block diagrams and tables"
2,1,Statistics,Statistics,ask and answer simple questions by counting the number of objects in each category and sorting the categories by quantity
2,1,Statistics,Statistics,ask-and-answer questions about totalling and comparing categorical data
3,2,Number,number and place value,"count from 0 in multiples of 4, 8, 50 and 100; find 10 or 100 more or less than a given number"
3,2,Number,number and place value,"recognise the place value of each digit in a 3-digit number (100s, 10s, 1s)"
3,2,Number,number and place value,"compare and order numbers up to 1,000"
3,2,Number,number and place value,"identify, represent and estimate numbers using different representations"
3,2,Number,number and place value,"read and write numbers up to 1,000 in numerals and in words"
3,2,Number,number and place value,solve number problems and practical problems involving these ideas
3,2,Number,addition and subtraction,"add and subtract numbers mentally, including: a three-digit number and 1s"
3,2,Number,addition and subtraction,"add and subtract numbers mentally, including: a three-digit number and 10s"
3,2,Number,addition and subtraction,"add and subtract numbers mentally, including: a three-digit number and 100s"
3,2,Number,addition and subtraction,"add and subtract numbers with up to 3 digits, using formal written methods of columnar addition and subtraction"
3,2,Number,addition and subtraction,estimate the answer to a calculation and use inverse operations to check answers
3,2,Number,addition and subtraction,"solve problems, including missing number problems, using number facts, place value, and more complex addition and subtraction"
3,2,Number,multiplication and division,"recall and use multiplication and division facts for the 3, 4 and 8 multiplication tables"
3,2,Number,multiplication and division,"write and calculate mathematical statements for multiplication and division using the multiplication tables that they know, including for two-digit numbers times one-digit numbers, using mental and progressing to formal written methods"
3,2,Number,multiplication and division,"solve problems, including missing number problems, involving multiplication and division, including positive integer scaling problems and correspondence problems in which n objects are connected to m objects"
3,2,Number,fractions,count up and down in tenths; recognise that tenths arise from dividing an object into 10 equal parts and in dividing one-digit numbers or quantities by 10
3,2,Number,fractions,"recognise, find and write fractions of a discrete set of objects: unit fractions and non-unit fractions with small denominators"
3,2,Number,fractions,recognise and use fractions as numbers: unit fractions and non-unit fractions with small denominators
3,2,Number,fractions,"recognise and show, using diagrams, equivalent fractions with small denominators"
3,2,Number,fractions,add and subtract fractions with the same denominator within one whole+[Fraction:1/7] = [Fraction:6/7]]
3,2,Number,fractions,"compare and order unit fractions, and fractions with the same denominators"
3,2,Number,fractions,solve problems that involve all of the above
3,2,Geometry,Measurement,"measure, compare, add and subtract: lengths (m/cm/mm); mass (kg/g); volume/capacity (l/ml)"
3,2,Geometry,Measurement,measure the perimeter of simple 2-D shapes
3,2,Geometry,Measurement,"add and subtract amounts of money to give change, using both £ and p in practical contexts"
3,2,Geometry,Measurement,"tell and write the time from an analogue clock, including using Roman numerals from I to XII, and 12-hour and 24-hour clocks"
